bibtex_key,title,author,journal,year,source,pages,volume,abstract,document_type,doi,url,affiliation,author_keywords,keywords,publisher,issn,language,note,selection_criteria,created_at,updated_at,created_by,updated_by,status,comments
20153101096794,The fleet size and mix location-routing problem with time windows: Formulations and a heuristic algorithm,"Koc, Cari and Bekta, Tolga and Jabali, Ola and Laporte, Gilbert",European Journal of Operational Research,2016,Compendex (Engineering Village) ,33 - 51,248,"This paper introduces the fleet size and mix location-routing problem with time windows (FSMLRPTW) which extends the location-routing problem by considering a heterogeneous fleet and time windows. The main objective is to minimize the sum of vehicle fixed cost, depot cost and routing cost. We present mixed integer programming formulations, a family of valid inequalities and we develop a powerful hybrid evolutionary search algorithm (HESA) to solve the problem. The HESA successfully combines several metaheuristics and offers a number of new advanced efficient procedures tailored to handle heterogeneous fleet dimensioning and location decisions. We evaluate the strengths of the proposed formulations with respect to their ability to find optimal solutions. We also investigate the performance of the HESA. Extensive computational experiments on new benchmark instances have shown that the HESA is highly effective on the FSMLRPTW. &copy; 2015 Elsevier B.V. and Association of European Operational Research Societies (EURO) within the International Federation of Operational Research Societies (IFORS). All rights reserved.",article,,http://dx.doi.org/10.1016/j.ejor.2015.06.082,,,Algorithms;Amphibious vehicles;Benchmarking;Costs;Evolutionary algorithms;Fleet operations;Genetic algorithms;Heuristic algorithms;Integer programming;Location;,,03772217,English,Computational experiment;Evolutionary search algorithms;Fleet size and mixes;Heterogeneous fleet;Location routing problem;Location-routing;Mixed integer programming;Time windows;,,"43234,0005208333","43255,1066435185",gxferreira,,Duplicated,
20181304962093,Application of a memetic algorithm to the fleet size and mix vehicle routing problem with electric modular vehicles,"Rezgui, Dhekra and Chaouachi-Siala, Jouhaina and Aggoune-Mtalaa, Wassila and Bouziri, Hend",GECCO 2017 - Proceedings of the Genetic and Evolutionary Computation Conference Companion,2017,Compendex (Engineering Village) ,301 - 302,2017-January,"Electric vehicles have emerged as a new promising technology guaranteeing sustainable transport activities. To save the environment and avoid our dependence on foreign oil, new laws and regulations concerning the emission of greenhouse gases are made in order to reduce harmful emissions and promote electric vehicles for urban goods distribution. .is paper proposes to address the electric Modular Fleet Size and Mix Vehicle Routing Problem with Time Windows, which incorporates electric modules that can be recharged at customer locations. For that purpose, we apply a memetic algorithm that combines a Genetic Algorithm with a Local Search method. Experimental results demonstrate that with the modularity feature, using electric vehicles for freight delivery in cities is interesting economically.<br/> &copy; 2017 Copyright held by the owner/author(s).",inproceedings,,http://dx.doi.org/10.1145/3067695.3075608,,,Calculations;Distribution of goods;Electric vehicles;Environmental regulations;Evolutionary algorithms;Genetic algorithms;Greenhouse gases;Laws and legislation;Routing algorithms;Vehicle routing;,,,English,Fleet size and mixes;Laws and regulations;Local search method;Modular vehicles;Sustainable transport;Urban logistics;Vehicle routing problem with time windows;Vehicle Routing Problems;,,"43234,0005208333","43255,1069675926",gxferreira,,Duplicated,
20152400926916,A hybrid evolutionary algorithm for heterogeneous fleet vehicle routing problems with time windows,"Koc, Cari and Bekta, Tolga and Jabali, Ola and Laporte, Gilbert",Computers and Operations Research,2015,Compendex (Engineering Village) ,11 - 27,64,"This paper presents a hybrid evolutionary algorithm (HEA) to solve heterogeneous fleet vehicle routing problems with time windows. There are two main types of such problems, namely the fleet size and mix vehicle routing problem with time windows (F) and the heterogeneous fixed fleet vehicle routing problem with time windows (H), where the latter, in contrast to the former, assumes a limited availability of vehicles. The main objective is to minimize the fixed vehicle cost and the distribution cost, where the latter can be defined with respect to en-route time (T) or distance (D). The proposed unified algorithm is able to solve the four variants of heterogeneous fleet routing problem, called FT, FD, HT and HD, where the last variant is new. The HEA successfully combines several metaheuristics and offers a number of new advanced efficient procedures tailored to handle the heterogeneous fleet dimension. Extensive computational experiments on benchmark instances have shown that the HEA is highly effective on FT, FD and HT. In particular, out of the 360 instances we obtained 75 new best solutions and matched 102 within reasonable computational times. New benchmark results on HD are also presented. &copy; 2015 Elsevier Ltd. All rights reserved.",article,,http://dx.doi.org/10.1016/j.cor.2015.05.004,,,Algorithms;Benchmarking;Evolutionary algorithms;Finite difference method;Genetic algorithms;Hybrid vehicles;Network routing;Optimization;Routing algorithms;Vehicle routing;Vehicles;,,03050548,English,Computational experiment;Fleet size and mixes;Heterogeneous fleet;Hybrid evolutionary algorithm;Neighborhood search;Time windows;Vehicle routing problem with time windows;Vehicle Routing Problems;,,"43234,0005208333","43255,1076273148",gxferreira,,Duplicated,
20174304293835,Ant colony optimization for multi-UAV minimum time search in uncertain domains,"Perez-Carabaza, Sara and Besada-Portas, Eva and Lopez-Orozco, Jose A. and de la Cruz, Jesus M.",Applied Soft Computing Journal,2018,Compendex (Engineering Village) ,789 - 806,62,"This paper presents a new approach based on ant colony optimization (ACO) to determine the trajectories of a fleet of unmanned air vehicles (UAVs) looking for a lost target in the minimum possible time. ACO is especially suitable for the complexity and probabilistic nature of the minimum time search (MTS) problem, where a balance between the computational requirements and the quality of solutions is needed. The presented approach includes a new MTS heuristic that exploits the probability and spatial properties of the problem, allowing our ant based algorithm to quickly obtain high-quality high-level straight-segmented UAV trajectories. The potential of the algorithm is tested for different ACO parameterizations, over several search scenarios with different characteristics such as number of UAVs, or target dynamics and location distributions. The statistical comparison against other techniques previously used for MTS (ad hoc heuristics, cross entropy optimization, bayesian optimization algorithm and genetic algorithms) shows that the new approach outperforms the others.<br/> &copy; 2017 Elsevier B.V.",article,,http://dx.doi.org/10.1016/j.asoc.2017.09.009,,,Artificial intelligence;Fighter aircraft;Fleet operations;Genetic algorithms;Motion planning;Optimization;Unmanned aerial vehicles (UAV);,,15684946,English,Ant based algorithms;Ant Colony Optimization (ACO);Bayesian optimization algorithms;Computational requirements;Minimum time;Probabilistic path planning;Statistical comparisons;Unmanned air vehicle (UAVs);,,"43234,0005208333","43255,1064236111",gxferreira,,Duplicated,
20170103222530,Predicting travel time reliability using mobile phone GPS data,"Woodard, Dawn and Nogin, Galina and Koch, Paul and Racz, David and Goldszmidt, Moises and Horvitz, Eric",Transportation Research Part C: Emerging Technologies,2017,Compendex (Engineering Village) ,30 - 44,75,"Estimates of road speeds have become commonplace and central to route planning, but few systems in production provide information about the reliability of the prediction. Probabilistic forecasts of travel time capture reliability and can be used for risk-averse routing, for reporting travel time reliability to a user, or as a component of fleet vehicle decision-support systems. Many of these uses (such as those for mapping services like Bing or Google Maps) require predictions for routes in the road network, at arbitrary times; the highest-volume source of data for this purpose is GPS data from mobile phones. We introduce a method (TRIP) to predict the probability distribution of travel time on an arbitrary route in a road network at an arbitrary time, using GPS data from mobile phones or other probe vehicles. TRIP captures weekly cycles in congestion levels, gives informed predictions for parts of the road network with little data, and is computationally efficient, even for very large road networks and datasets. We apply TRIP to predict travel time on the road network of the Seattle metropolitan region, based on large volumes of GPS data from Windows phones. TRIP provides improved interval predictions (forecast ranges for travel time) relative to Microsoft's engine for travel time prediction as used in Bing Maps. It also provides deterministic predictions that are as accurate as Bing Maps predictions, despite using fewer explanatory variables, and differing from the observed travel times by only 10.1% on average over 35,190 test trips. To our knowledge TRIP is the first method to provide accurate predictions of travel time reliability for complete, large-scale road networks. &copy; 2016 Elsevier Ltd",article,,http://dx.doi.org/10.1016/j.trc.2016.10.011,,,Artificial intelligence;Cellular telephone systems;Cellular telephones;Decision support systems;Fleet operations;Forecasting;Global positioning system;Mobile devices;Mobile phones;Motor transportation;Probability distributions;Reliability;Roads and streets;Statistics;Telecommunication traffic;Telephone sets;Traffic congestion;Traffic control;Transportation;,,0968090X,English,Computationally efficient;Explanatory variables;Location data;Metropolitan regions;Probabilistic forecasts;Risk-averse routing;Travel time prediction;Travel time reliability;,,"43234,0005208333","43255,1085416667",gxferreira,,Duplicated,
20173003983717,Logistical Costs Minimization for Delivery of Shot Lots by using Logistical Information Systems,"Makarova, Irina and Shubenkova, Ksenia and Pashkevich, Anton",Procedia Engineering,2017,Compendex (Engineering Village) ,330 - 339,178,"The article considers the possibility to reduce logistical costs using optimization of the supply chain management with the help of a decision support system. It was shown that the implementation of such systems at the transport companies allows to choose the best available options of transport route and mean of transport. It concerns in the first instance enterprises, which have an extensive dealer network and focus on deliveries of shot lots on delivery routes. The developed algorithm to make a reasonable management decision concerning the choice of route and delivery schedule gives an opportunity to manage optimally a vehicle fleet and to reduce idle runs. The optimization of delivery routes is based on the minimization of fleet usage, their total run and standing time as well as takes into account traffic intensities on road sections. It allows also to reduce transport load on the road network, which leads to improve ecological situation in the city. The model for the city of NaberezhnyeChelny was built and tested within the scope of research. Its implementation gives a possibility to correct proposed routes in such a way as to avoid ""problem"" parts of road network. &copy; 2017 The Authors.",inproceedings,,http://dx.doi.org/10.1016/j.proeng.2017.01.059,,,Artificial intelligence;Decision making;Decision support systems;Fleet operations;Highway administration;Roads and streets;Transportation;,,18777058,English,Delivery routes;Delivery schedules;Ecological situation;Logistical information;Management decisions;Traffic intensity;Transport companies;Transport routes;,,"43234,0005208333","43255,1083101852",gxferreira,,Duplicated,
20161602260101,Task assignment and trajectory planning in dynamic environments for multiple vehicles,"David, Jennifer and Philippsen, Roland",Frontiers in Artificial Intelligence and Applications,2015,Compendex (Engineering Village) ,179 - 181,278,"We consider the problem of finding collision-free trajectories for a fleet of automated guided vehicles (AGVs) working in ship ports and freight terminals. Our solution computes collision-free trajectories for a fleet of AGVs to pick up one or more containers and transport it to a given goal without colliding with other AGVs and obstacles. We propose an integrated framework for solving the goal assignment and trajectory planning problem minimizing the maximum cost over all vehicle trajectories using the classical Hungarian algorithm. To deal with the dynamics in the environment, we refine our final trajectories with CHOMP (Covariant Hamiltonian optimization for motion planning) in order to trade off between path smoothness and dynamic obstacle avoidance. &copy; 2015 The authors and IOS Press. All rights reserved.",inproceedings,,http://dx.doi.org/10.3233/978-1-61499-589-0-179,,,Artificial intelligence;Collision avoidance;Economic and social effects;Fleet operations;Motion planning;Redundant manipulators;Trajectories;Vehicles;,,09226389,English,Automated guided vehicles;Collision-free trajectory;Dynamic environments;Dynamic obstacle avoidance;Integrated frameworks;Multirobots;Path planners;Task assignment;,,"43234,0005208333","43255,1064699074",gxferreira,,Duplicated,
20150800540293,A fleet size and mix vehicle routing problem with quantity discounts for outsourcing,"Hao, Yang-Yang and Tao, Sha and Hu, Zhi-Hua",BioTechnology: An Indian Journal,2014,Compendex (Engineering Village) ,3882 - 3895,10,"In view of the fleet size and mix vehicle routing problem with quantity discounts for outsourcing, a non-linear programming model is established; and an evolutionary algorithm based on the shortest path encoding approach is designed to solve the model by minimize the variable costs and outsourcing costs. Through experimental analysis, it is shown that: the mutation probability and population size affects the optimal fitness defined by total costs; the higher mutation probability and bigger population size would quicken the convergence speed and quality of the evolutionary algorithm; the bigger population size would cost more computational time; other parameters impose no significant effect on experimental results. Based on these results, optimal parameters for the algorithm are determined. By a case, the performance and the effects of the algorithm are demonstrated. &copy; Trade Science Inc.",article,,,,,Algorithms;Cost benefit analysis;Costs;Evolutionary algorithms;Graph theory;Network routing;Nonlinear programming;Outsourcing;Parameter estimation;Population statistics;Routing algorithms;Vehicles;,,09747435,English,Computational time;Convergence speed;Experimental analysis;Fleet size and mixes;Mutation probability;Quantity discount;Shortest path;Vehicle Routing Problems;,,"43234,0005208333","43255,1083912037",gxferreira,,Duplicated,
20172103694834,A heuristic approach for solving a rich min-max vehicle routing problem with mixed fleet and mixed demand,"Yakici, Ertan",Computers and Industrial Engineering,2017,Compendex (Engineering Village) ,288 - 294,109,"We propose a new heuristic approach for a new variant of vehicle routing problem with a min-max objective function and mixed types of service demands satisfied by a mixed fleet. It is assumed that vehicles with unlimited service capacity, which have different service and transfer speeds, operate on demand points grouped in regions with boundaries that cannot be passed. The proposed solution method is based on swarm intelligence. A numerical study is carried out to evaluate the performance of the proposed method. &copy; 2017 Elsevier Ltd",article,,http://dx.doi.org/10.1016/j.cie.2017.05.001,,,Ant colony optimization;Artificial intelligence;Heuristic methods;Numerical methods;Swarm intelligence;Vehicle routing;Vehicles;,,03608352,English,Different services;Heuristic approach;Mixed demand;Mixed fleet;Objective functions;Service capacity;Solution methods;Vehicle Routing Problems;,,"43234,0005208333","43255,1069444444",gxferreira,,Duplicated,
20173504090972,Spatiotemporal representation of driving scenarios and classification using neural networks,"Gruner, Richard and Henzler, Philip and Hinz, Gereon and Eckstein, Corinna and Knoll, Alois","IEEE Intelligent Vehicles Symposium, Proceedings",2017,Compendex (Engineering Village) ,1782 - 1788,,"Large scale fleet tests of autonomous vehicles lead to the availability of massive recorded datasets, offering significant potential for the generation of realistic virtual test drives, for the development and training of machine learning based functions, and facilitated performance analysis. Automated scenario classification and data labeling is necessary to maximize the utility of these massive datasets and make them fully accessible and searchable for developers. In this paper we present and compare several spatiotemporal representations of recorded driving scenarios and analyze the impact of the representation type on the results of the subsequent automated scenario classification with deep neural networks. Built on a fused list of objects that combines data from several sensor types, we create and annotate datasets for each of the representations and train the classification algorithm. The best classification results were achieved with the presented Stacked Velocity Grid, which includes temporal information. &copy; 2017 IEEE.",inproceedings,,http://dx.doi.org/10.1109/IVS.2017.7995965,,,Deep neural networks;Digital storage;Fleet operations;Intelligent vehicle highway systems;Learning systems;Vehicles;Virtual reality;,,,English,Autonomous Vehicles;Classification algorithm;Classification results;Massive data sets;Performance analysis;Representation type;Temporal information;Virtual test drive;,,"43234,0005208333","43255,1065046296",gxferreira,,Duplicated,
